x,y,z
10.783126831054688,94.26727294921875,0
10.49908447265625,94.41507720947266,0
10.209571838378906,94.55180358886719,0
9.91537094116211,94.6771240234375,0
9.617263793945312,94.79069519042969,0
9.316032409667969,94.89218139648438,0
9.012458801269531,94.98123168945312,0
8.707317352294922,95.0575180053711,0
8.401390075683594,95.12069702148438,0
8.095458984375,95.1704330444336,0
7.790306091308594,95.20637512207031,0
7.4867095947265625,95.22818756103516,0
7.185447692871094,95.23553466796875,0
7.185447692871094,95.23553466796875,0
-65.30498504638672,95.23553466796875,0
-65.30498504638672,95.23553466796875,0
-65.48839569091797,95.24015808105469,0
-65.66941833496094,95.2538833618164,0
-65.84782409667969,95.27648162841797,0
-66.02338409423828,95.3077392578125,0
-66.19587707519531,95.34741973876953,0
-66.36509704589844,95.39530181884766,0
-66.5307846069336,95.451171875,0
-66.69274139404297,95.51478576660156,0
-66.85072326660156,95.5859375,0
-67.0045166015625,95.66439819335938,0
-67.15390014648438,95.74994659423828,0
-67.29864501953125,95.84234619140625,0
-67.43851470947266,95.94139099121094,0
-67.57329559326172,96.04683685302734,0
-67.7027587890625,96.15847778320312,0
-67.82669067382812,96.27607727050781,0
-67.94483947753906,96.39942169189453,0
-68.05701446533203,96.52827453613281,0
-68.1629638671875,96.66242218017578,0
-68.26246643066406,96.8016357421875,0
-68.35530853271484,96.94569396972656,0
-68.44125366210938,97.09437561035156,0
-68.52009582519531,97.24744415283203,0
-68.59158325195312,97.40469360351562,0
-68.65550231933594,97.56587982177734,0
-68.71163177490234,97.73079681396484,0
-68.7597427368164,97.89920806884766,0
-68.79961395263672,98.07089233398438,0
-68.83100891113281,98.2456283569336,0
-68.85372161865234,98.4231948852539,0
-68.86750793457031,98.60336303710938,0
-68.87215423583984,98.7859115600586,0
-68.87215423583984,98.7859115600586,0
-68.87215423583984,106.03759002685547,0
-68.87215423583984,106.03759002685547,0
-68.87648010253906,106.2118911743164,0
-68.88934326171875,106.38512420654297,0
-68.9105453491211,106.55723571777344,0
-68.93991088867188,106.72816467285156,0
-68.97724914550781,106.89786529541016,0
-69.02235412597656,107.0662841796875,0
-69.0750732421875,107.23336029052734,0
-69.13520812988281,107.39904022216797,0
-69.20256042480469,107.56328582763672,0
-69.27694702148438,107.72602081298828,0
-69.3581771850586,107.88720703125,0
-69.44607543945312,108.04679107666016,0
-69.64111328125,108.36092376708984,0
-69.86056518554688,108.66798400878906,0
-70.10292053222656,108.9675521850586,0
-70.36670684814453,109.25919342041016,0
-70.65040588378906,109.54248046875,0
-70.95254516601562,109.81697845458984,0
-71.27161407470703,110.082275390625,0
-71.60612487792969,110.33792114257812,0
-71.95457458496094,110.58350372314453,0
-72.31546783447266,110.81858825683594,0
-73.0686264038086,111.25555419921875,0
-73.8536376953125,111.6453857421875,0
-74.65855407714844,111.98464965820312,0
-75.47138214111328,112.26991271972656,0
-76.28018951416016,112.49776458740234,0
-76.67935180664062,112.58908081054688,0
-77.07301330566406,112.66475677490234,0
-77.45968627929688,112.724365234375,0
-77.83787536621094,112.76747131347656,0
-78.20608520507812,112.79364776611328,0
-78.56283569335938,112.8024673461914,0
-78.56283569335938,112.8024673461914,0
-142.2257843017578,112.8024673461914,0
-142.5806884765625,112.79368591308594,0
-142.94354248046875,112.76761627197266,0
-143.31309509277344,112.72468566894531,0
-143.68807983398438,112.66532135009766,0
-144.06719970703125,112.5899429321289,0
-144.44927978515625,112.49897766113281,0
-144.83297729492188,112.39283752441406,0
-145.21707153320312,112.27196502685547,0
-145.9813995361328,111.98768615722656,0
-146.7321319580078,111.6495361328125,0
-147.459228515625,111.2608871459961,0
-147.81076049804688,111.04869079589844,0
-148.15261840820312,110.82514190673828,0
-148.48348999023438,110.59066772460938,0
-148.80215454101562,110.34569549560547,0
-149.10736083984375,110.09063720703125,0
-149.3978271484375,109.825927734375,0
-149.67230224609375,109.55198669433594,0
-149.92950439453125,109.26924133300781,0
-150.16818237304688,108.97810363769531,0
-150.38711547851562,108.67901611328125,0
-150.58499145507812,108.37239074707031,0
-150.76058959960938,108.05864715576172,0
-150.91262817382812,107.73822021484375,0
-150.97940063476562,107.57563018798828,0
-151.03985595703125,107.41152954101562,0
-151.09375,107.24596405029297,0
-151.1409912109375,107.07899475097656,0
-151.18138122558594,106.91067504882812,0
-151.21478271484375,106.74105072021484,0
-151.24105834960938,106.57017517089844,0
-151.25999450683594,106.39810943603516,0
-151.271484375,106.22489929199219,0
-151.2753448486328,106.05059814453125,0
-151.27532958984375,98.77275848388672,0
-151.27532958984375,98.77275848388672,0
-151.27145385742188,98.59834289550781,0
-151.25994873046875,98.42493438720703,0
-151.240966796875,98.25260925292969,0
-151.2146453857422,98.08140563964844,0
-151.18118286132812,97.91139221191406,0
-151.14068603515625,97.74261474609375,0
-151.09335327148438,97.57512664794922,0
-151.03932189941406,97.40899658203125,0
-150.978759765625,97.24427032470703,0
-150.91183471679688,97.08100128173828,0
-150.75949096679688,96.75906372070312,0
-150.58352661132812,96.44364166259766,0
-150.38522338867188,96.13516235351562,0
-150.16586303710938,95.83407592773438,0
-149.92669677734375,95.54081726074219,0
-149.66897583007812,95.2558364868164,0
-149.39398193359375,94.97957611083984,0
-149.10296630859375,94.71247863769531,0
-148.79721069335938,94.4549789428711,0
-148.47796630859375,94.20753479003906,0
-148.14651489257812,93.97057342529297,0
-147.80409240722656,93.74454498291016,0
-147.45196533203125,93.52989196777344,0
-146.72372436523438,93.13648223876953,0
-145.97189331054688,92.79387664794922,0
-145.20657348632812,92.50563049316406,0
-144.822021484375,92.38298797607422,0
-144.43789672851562,92.2752685546875,0
-144.05545043945312,92.18290710449219,0
-143.67596435546875,92.10633850097656,0
-143.30068969726562,92.0460205078125,0
-142.93089294433594,92.00238800048828,0
-142.56784057617188,91.97588348388672,0
